Cod Prov,Jurisdicciones,Cod ISO 3166 alpha 2,Capital,Gobernador
2,Ciudad Autónoma de Buenos Aires,AR-C,,Horacio Rodríguez Larreta
6,Buenos Aires,AR-B,La Plata,Axel Kicillof
10,Catamarca,AR-K,San Fernando del Valle de Catamarca,Raúl Jalil
14,Córdoba,AR-X,Córdoba,Juan Schiaretti
18,Corrientes,AR-W,Corrientes,Gustavo Valdés
22,Chaco,AR-H,Resistencia,Jorge Capitanich
26,Chubut,AR-U,Rawson,Mariano Arcioni
30,Entre Ríos,AR-E,Paraná,Gustavo Bordet
34,Formosa,AR-P,Formosa,Gildo Insfrán
38,Jujuy,AR-Y,San Salvador de Jujuy,Gerardo Morales
42,La Pampa,AR-L,Santa Rosa,Carlos Verna
46,La Rioja,AR-F,La Rioja,Ricardo Quintela
50,Mendoza,AR-M,Mendoza,Rodolfo Suárez
54,Misiones,AR-N,Posadas,Oscar Herrera Ahuad
58,Neuquén,AR-Q,Neuquén,Omar Gutiérrez
62,Río Negro,AR-R,Viedma,Arabela Carreras
66,Salta,AR-A,Salta,Gustavo Sáenz
70,San Juan,AR-J,San Juan,Sergio Uñac
74,San Luis,AR-D,San Luis,Alberto Rodríguez Saá
78,Santa Cruz,AR-Z,Río Gallegos,Alicia Kirchner
82,Santa Fe,AR-S,Santa Fe,Omar Perotti
86,Santiago del Estero,AR-G,Santiago del Estero,Gerardo Zamora
90,Tucumán,AR-T,San Miguel de Tucumán,Juan Luis Manzur
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",AR-V,Ushuaia,Gustavo Melella
